UMLClass,UMLEntity,UMLDescription,ConceptName,ConceptPreferredName,Classification,ConceptCode,ConceptDefinition,ConceptDefinitionSource,ModifiedDate,HumanVerified
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.NeoplasmHistologicType,Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.NeoplasmHistologicType,The diagnostic subclassification of invasive general carcinoma,Type,Type,ObjectClass,C25284,Something distinguishable as an identifiable class based on common qualities.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.NeoplasmHistologicType,Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.NeoplasmHistologicType,The diagnostic subclassification of invasive general carcinoma,Histologic,Histologic,ObjectClass,C25526,Pertaining to the combined microscopic physical features of cells and their surrounding extracellular environment in tissues.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.NeoplasmHistologicType,Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.NeoplasmHistologicType,The diagnostic subclassification of invasive general carcinoma,Neoplasm,Neoplasm,ObjectClass,C3262,"An abnormal tissue growth resulted from uncontrolled cell proliferation.  Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant ones exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia.  Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias. -- 2004",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.NeoplasmHistologicType,name,The name of the histologic type.,Name_Generic_Concept,Name,Property,C42614,The words or language units by which a thing is known.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.NeoplasmHistologicType,name,The name of the histologic type.,Carney_Complex,Carney Syndrome,Property,C4705,,,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.NeoplasmHistologicType,name,The name of the histologic type.,Name,Person Name,Property,C25191,A word or group of words indicating the identity of a person usually consisting of a first (personal) name and a last (family) name with an optional middle name.  In some cultural traditions the family name comes first.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.NeoplasmHistologicType,nameMVR,The name of the histologic type,Name_Generic_Concept,Name,Property,C42614,The words or language units by which a thing is known.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.NeoplasmHistologicType,nameMVR,The name of the histologic type,Carney_Complex,Carney Syndrome,Property,C4705,,,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.NeoplasmHistologicType,nameMVR,The name of the histologic type,Name,Person Name,Property,C25191,A word or group of words indicating the identity of a person usually consisting of a first (personal) name and a last (family) name with an optional middle name.  In some cultural traditions the family name comes first.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.NeoplasmHistologicType,nameMVR,The name of the histologic type,Missing_Value_Reason,Missing Value Reason,Property,C48655,"A specific reason explaining why a meaningful value is not available.  A meaningful value answers the question posed by a Data Element Concept.  In contrast, a Missing Value Reason answers the implicit question ""Why is there no 'meaningful' value?"", when there is none.",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.NeoplasmHistologicType,otherName,User-entered text indicating a histologic type not specified within the listed values,Other_Routes_of_Drug_Administration,Other Route of Administration,Property,C38290,Route of drug administration not specified on this list.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.NeoplasmHistologicType,otherName,User-entered text indicating a histologic type not specified within the listed values,Other_Health_Care_Professional,Other Health Care Professional,Property,C53289,Health care professional other than listed in section D5 of FDA MedWatch form 3500A.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.NeoplasmHistologicType,otherName,User-entered text indicating a histologic type not specified within the listed values,Name,Person Name,Property,C25191,A word or group of words indicating the identity of a person usually consisting of a first (personal) name and a last (family) name with an optional middle name.  In some cultural traditions the family name comes first.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.NeoplasmHistologicType,otherName,User-entered text indicating a histologic type not specified within the listed values,Other,Other,Property,C17649,Different than the one(s) previously specified or mentioned.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.ThreeDimensionalTumorSize,Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.ThreeDimensionalTumorSize,General measurement of tumor size in 3 dimensions,Size,Size,ObjectClass,C25681,The physical magnitude of something.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.ThreeDimensionalTumorSize,Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.ThreeDimensionalTumorSize,General measurement of tumor size in 3 dimensions,Neoplasm,Neoplasm,ObjectClass,C3262,"An abnormal tissue growth resulted from uncontrolled cell proliferation.  Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant ones exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia.  Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias. -- 2004",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.ThreeDimensionalTumorSize,greatestDimension,Greatest length of three dimensions.,Dimension,Dimension,Property,C25483,"The magnitude of something in a particular direction, especially length or width or height.",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.ThreeDimensionalTumorSize,greatestDimension,Greatest length of three dimensions.,Most,Most,Property,C25258,"Greatest in amount, extent, or degree.",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.ThreeDimensionalTumorSize,additionalDimensionY,Second dimension length.,Yes,Yes,Property,C49488,The affirmative response to a question.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.ThreeDimensionalTumorSize,additionalDimensionY,Second dimension length.,Dimension,Dimension,Property,C25483,"The magnitude of something in a particular direction, especially length or width or height.",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.ThreeDimensionalTumorSize,additionalDimensionY,Second dimension length.,Additional,Additional,Property,C25406,Added; extra; further.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.ThreeDimensionalTumorSize,additionalDimensionY,Second dimension length.,Y-Dimension,Y-Dimension,Property,C45785,The magnitude of something in a vertical direction.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.ThreeDimensionalTumorSize,additionalDimensionY,Second dimension length.,Y-Coordinate,Y-Coordinate,Property,C44478,A vertical coordinate that is used together with a horizontal coordinate to specify an exact point in space.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.ThreeDimensionalTumorSize,additionalDimensionZ,Second dimension length,Z-Dimension,Z-Dimension,Property,C49150,"The magnitude of something in a third direction, generally representing depth.",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.ThreeDimensionalTumorSize,additionalDimensionZ,Second dimension length,Z-Coordinate,Z-Coordinate,Property,C44479,A third coordinate that is used together with horizontal (x) and vertical (y) coordinates to specify an exact point in a three dimensional space.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.ThreeDimensionalTumorSize,additionalDimensionZ,Second dimension length,Dimension,Dimension,Property,C25483,"The magnitude of something in a particular direction, especially length or width or height.",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.ThreeDimensionalTumorSize,additionalDimensionZ,Second dimension length,Additional,Additional,Property,C25406,Added; extra; further.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.ThreeDimensionalTumorSize,MVR,Third dimension length,Missing_Value_Reason,Missing Value Reason,Property,C48655,"A specific reason explaining why a meaningful value is not available.  A meaningful value answers the question posed by a Data Element Concept.  In contrast, a Missing Value Reason answers the implicit question ""Why is there no 'meaningful' value?"", when there is none.",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.HistologicGrade,Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.HistologicGrade,The microscopic classification of degree of abnormality of a neoplasm.,Grade,Grade,ObjectClass,C48309,A position on a scale of intensity or amount or quality.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.HistologicGrade,Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.HistologicGrade,The microscopic classification of degree of abnormality of a neoplasm.,Histologic,Histologic,ObjectClass,C25526,Pertaining to the combined microscopic physical features of cells and their surrounding extracellular environment in tissues.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.HistologicGrade,Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.HistologicGrade,The microscopic classification of degree of abnormality of a neoplasm.,Histopathologic_Grade,Histologic Grade,ObjectClass,C18000,"The degree of abnormality of cancer cells, a measure of differentiation, the extent to which cancer cells are similar in appearance and function to healthy cells of the same tissue type. The degree of differentiation often relates to the clinical behavior of the particular tumor. Based on the microscopic findings, tumor grade is commonly described by one of four degrees of severity. Histopathologic grade of a tumor may be used to plan treatment and estimate the future course, outcome, and overall prognosis of disease. Certain types of cancers, such as soft tissue sarcoma, primary brain tumors, lymphomas, and breast have special grading systems.",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.Accession,Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.Accession,A procedure event,Accession,Accession,ObjectClass,C45257,A process of increasing by addition (as to a collection or group).,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.Accession,diseaseType,The organ where the primary tumor is located.,Type,Type,Property,C25284,Something distinguishable as an identifiable class based on common qualities.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.Accession,diseaseType,The organ where the primary tumor is located.,Diseases_and_Disorders,Diseases and Disorders,Property,C2991,"Any abnormal condition of the body or mind that causes discomfort, dysfunction, or distress to the person affected or those in contact with the person. Sometimes the term is used broadly to include injuries, disabilities, syndromes, symptoms, deviant behaviors, and atypical variations of structure and function.",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AnnotationEventParameters,Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AnnotationEventParameters,The parameters used in the annotation,Annotation,Annotation,ObjectClass,C44272,An explanatory or critical comment that has been added to a text.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AnnotationEventParameters,Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AnnotationEventParameters,The parameters used in the annotation,Event,Event,ObjectClass,C25499,Something that happens at a given place and time.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AnnotationEventParameters,source,The date the annotation data was entered into CAE or imported from other source to CAE,Term_Source,Term Source,Property,C43822,An indicator of the particular group or agency that supplied a specific term.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AnnotationEventParameters,source,The date the annotation data was entered into CAE or imported from other source to CAE,Source,Source,Property,C25683,Where something is available or from where it originates.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AnnotationEventParameters,sourceDate,The date the annotation data was input into CAE or import from other source to CAE.,Date,Date,Property,C25164,"The particular day, month and year an event has happened or will happen.",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AnnotationEventParameters,sourceDate,The date the annotation data was input into CAE or import from other source to CAE.,Term_Source,Term Source,Property,C43822,An indicator of the particular group or agency that supplied a specific term.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AnnotationEventParameters,sourceDate,The date the annotation data was input into CAE or import from other source to CAE.,Source,Source,Property,C25683,Where something is available or from where it originates.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AccessionCharacteristics,Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AccessionCharacteristics,Annotations specific to an Accession that are not Protected Health Information,Accession,Accession,ObjectClass,C45257,A process of increasing by addition (as to a collection or group).,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AccessionCharacteristics,Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AccessionCharacteristics,Annotations specific to an Accession that are not Protected Health Information,Characteristics,Characteristic,ObjectClass,C25447,"The distinguishing qualities or prominent aspect of a person, object, action, process, or substance.",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AccessionCharacteristics,surgicalProcedure,The surgical procedure by which one or more biospecimens was obtained.,Surgical_Procedure,Surgical Procedure,Property,C15329,"A diagnostic or treatment procedure performed by manual and/or instrumental means, often involving an incision and the removal or replacement of a diseased organ or tissue; of or relating to or involving or used in surgery or requiring or amenable to treatment by surgery.",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AccessionCharacteristics,surgicalProcedure,The surgical procedure by which one or more biospecimens was obtained.,Surgical,Surgical,Property,C25698,Of or relating to or involving or used in surgery or requiring or amenable to treatment by surgery.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AccessionCharacteristics,surgicalProcedure,The surgical procedure by which one or more biospecimens was obtained.,Procedure,Procedure,Property,C25218,A particular course of action intended to achieve a result.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AccessionCharacteristics,otherSurgicalProcedure,User-entered text specifying a surgical procedure that is not in the list of values provided,Other_Routes_of_Drug_Administration,Other Route of Administration,Property,C38290,Route of drug administration not specified on this list.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AccessionCharacteristics,otherSurgicalProcedure,User-entered text specifying a surgical procedure that is not in the list of values provided,Surgical,Surgical,Property,C25698,Of or relating to or involving or used in surgery or requiring or amenable to treatment by surgery.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AccessionCharacteristics,otherSurgicalProcedure,User-entered text specifying a surgical procedure that is not in the list of values provided,Procedure,Procedure,Property,C25218,A particular course of action intended to achieve a result.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AccessionCharacteristics,otherSurgicalProcedure,User-entered text specifying a surgical procedure that is not in the list of values provided,Other_Health_Care_Professional,Other Health Care Professional,Property,C53289,Health care professional other than listed in section D5 of FDA MedWatch form 3500A.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.AccessionCharacteristics,otherSurgicalProcedure,User-entered text specifying a surgical procedure that is not in the list of values provided,Other,Other,Property,C17649,Different than the one(s) previously specified or mentioned.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.Participant,Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.Participant,An individual from whom a specimen is collected,Participant,Participant,ObjectClass,C29867,Someone who takes part in an activity.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.SpecimenCharacteristics,Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.SpecimenCharacteristics,"This is a class from the caTISSUE Core model.  However, they put tissueSide as an attribute on this class, which doesn't seem accurate, since that is not relevant for some specimens.   They also include pathological[sic]Status (malignant, non-malignant, non-malignant diseases, pre-malignant).  So far in CAE, all are malignant.",Specimen,Specimen,ObjectClass,C19157,"A part of a thing, or of several things, taken to demonstrate or to determine the character of the whole, e.g. a substance, or portion of material obtained for use in testing, examination, or study; particularly, a preparation of tissue or bodily fluid taken for examination or diagnosis.",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.SpecimenCharacteristics,Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.SpecimenCharacteristics,"This is a class from the caTISSUE Core model.  However, they put tissueSide as an attribute on this class, which doesn't seem accurate, since that is not relevant for some specimens.   They also include pathological[sic]Status (malignant, non-malignant, non-malignant diseases, pre-malignant).  So far in CAE, all are malignant.",Characteristics,Characteristic,ObjectClass,C25447,"The distinguishing qualities or prominent aspect of a person, object, action, process, or substance.",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.CancerTNMFinding,Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.CancerTNMFinding,TNM finding of the American Joint Committee on Cancer (AJCC) and International Union Against Cancer (UICC) recommended classification system for cancers.,Malignant_Neoplasm,Malignant Neoplasm,ObjectClass,C9305,"A tumor composed of atypical neoplastic, often pleomorphic cells that invade other tissues.  Malignant neoplasms often metastasize to distant anatomic sites and may recur after excision.",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.CancerTNMFinding,category,"Type of cancer TNM finding category, for example pathologic classification (p), classification following initial treatment (y),  recurrent tumor (r), stage determined at autopsy (a).",Category,Category,Property,C25372,This term is used informally to mean a class of things.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.CancerTNMFinding,primaryTumorFinding,"Type of cancer TNM finding category, for example pathologic classification (p), classification following initial treatment (y),  recurrent tumor (r), stage determined at autopsy (a)",Neoplasm,Neoplasm,Property,C3262,"An abnormal tissue growth resulted from uncontrolled cell proliferation.  Benign neoplastic cells resemble normal cells without exhibiting significant cytologic atypia, while malignant ones exhibit overt signs such as dysplastic features, atypical mitotic figures, necrosis, nuclear pleomorphism, and anaplasia.  Representative examples of benign neoplasms include papillomas, cystadenomas, and lipomas; malignant neoplasms include carcinomas, sarcomas, lymphomas, and leukemias. -- 2004",NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.CancerTNMFinding,primaryTumorFinding,"Type of cancer TNM finding category, for example pathologic classification (p), classification following initial treatment (y),  recurrent tumor (r), stage determined at autopsy (a)",Primary,Primary,Property,C25251,Occurring first in time or sequence; original; of greatest rank or importance or value.,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.CancerTNMFinding,primaryTumorFinding,"Type of cancer TNM finding category, for example pathologic classification (p), classification following initial treatment (y),  recurrent tumor (r), stage determined at autopsy (a)",Finding,Finding,Property,C3367,Objective evidence of disease perceptible to the examining physician (sign) and subjective evidence of disease perceived by the patient (symptom).,NCI,,0
Logical View.Data Model.Logical Model.edu.pitt.cabig.cae.domain.general.CancerTNMFinding,regionalLymphNodesFinding,Classification of primary tumor based on AJCC Staging guidelines,Regional,Regional,Property,C25643,Limited to a particular location or area.,NCI,,0
