UMLClass,UMLEntity,UMLDescription,ConceptName,ConceptPreferredName,Classification,ConceptCode,ConceptDefinition,ConceptDefinitionSource,ModifiedDate,HumanVerified
Logical View.Logical Model.edu.duke.cabig.tumorregistry.domain.Diagnosis,Logical View.Logical Model.edu.duke.cabig.tumorregistry.domain.Diagnosis,"An object representing specific Diaganosis for a specific patient. 
",Diagnosis,Diagnosis,ObjectClass,C15220,"The investigation, analysis and recognition of the presence and nature of disease, condition, or injury from expressed signs and symptoms; also, the scientific determination of any kind; the concise results of such an investigation.",NCI,,1
Logical View.Logical Model.edu.duke.cabig.tumorregistry.domain.Diagnosis,id,System generated internal identifier,Idaho,Idaho,Property,C43499,A state in the northern Rocky Mountains of western United States. Its capital is Boise.,NCI,,1
Logical View.Logical Model.edu.duke.cabig.tumorregistry.domain.Diagnosis,id,System generated internal identifier,Indonesia,Indonesia,Property,C16728,"A country in Southeastern Asia, comprising the archipelago between the Indian Ocean and the Pacific Ocean.",NCI,,1
Logical View.Logical Model.edu.duke.cabig.tumorregistry.domain.Diagnosis,id,System generated internal identifier,Identifier,Identifier,Property,C25364,"One or more characters used to identify, name, or characterize the nature, properties, or contents of a thing.",NCI,,1
Logical View.Logical Model.edu.duke.cabig.tumorregistry.domain.Diagnosis,firstContactDate,"Date of first patient contact with  reporting facility for diagnosis and/or treatment of the tumor. The date may represent the date first admitted as an inpatient or first outpatient visit for a biopsy, x-ray, scan, or laboratory test.",First,First,Property,C25509,Preceding all others in time or space or degree.,NCI,,1
Logical View.Logical Model.edu.duke.cabig.tumorregistry.domain.Diagnosis,firstContactDate,"Date of first patient contact with  reporting facility for diagnosis and/or treatment of the tumor. The date may represent the date first admitted as an inpatient or first outpatient visit for a biopsy, x-ray, scan, or laboratory test.",Contact,Contact Person,Property,C25461,A person acting as a channel for communication between groups.,NCI,,1
Logical View.Logical Model.edu.duke.cabig.tumorregistry.domain.Diagnosis,firstContactDate,"Date of first patient contact with  reporting facility for diagnosis and/or treatment of the tumor. The date may represent the date first admitted as an inpatient or first outpatient visit for a biopsy, x-ray, scan, or laboratory test.",Date,Date,Property,C25164,"The particular day, month and year an event has happened or will happen.",NCI,,1
Logical View.Logical Model.edu.duke.cabig.tumorregistry.domain.Diagnosis,initialDiagnosisDate,Date of initial diagnosis by recognized medical practitioner for tumor being reported whether clinically or microscopically confirmed.,First,First,Property,C25509,Preceding all others in time or space or degree.,NCI,,1
Logical View.Logical Model.edu.duke.cabig.tumorregistry.domain.Diagnosis,initialDiagnosisDate,Date of initial diagnosis by recognized medical practitioner for tumor being reported whether clinically or microscopically confirmed.,Initial_Usage,Initial Usage,Property,C53612,,,,1
Logical View.Logical Model.edu.duke.cabig.tumorregistry.domain.Diagnosis,initialDiagnosisDate,Date of initial diagnosis by recognized medical practitioner for tumor being reported whether clinically or microscopically confirmed.,Initial_Adverse_Event_and_Product_Problem_Report,Initial Adverse Event and Product Problem Report,Property,C53620,,,,1
Logical View.Logical Model.edu.duke.cabig.tumorregistry.domain.Diagnosis,initialDiagnosisDate,Date of initial diagnosis by recognized medical practitioner for tumor being reported whether clinically or microscopically confirmed.,Date,Date,Property,C25164,"The particular day, month and year an event has happened or will happen.",NCI,,1
